image_id,image_path,dataset_name,task,split,acne_severity
levle0_0,datasets\raw\acne04\JPEGImages\levle0_0.jpg,acne04,acne_severity,unassigned,0
levle0_1,datasets\raw\acne04\JPEGImages\levle0_1.jpg,acne04,acne_severity,unassigned,0
levle0_10,datasets\raw\acne04\JPEGImages\levle0_10.jpg,acne04,acne_severity,unassigned,0
levle0_100,datasets\raw\acne04\JPEGImages\levle0_100.jpg,acne04,acne_severity,unassigned,0
levle0_101,datasets\raw\acne04\JPEGImages\levle0_101.jpg,acne04,acne_severity,unassigned,0
levle0_102,datasets\raw\acne04\JPEGImages\levle0_102.jpg,acne04,acne_severity,unassigned,0
levle0_103,datasets\raw\acne04\JPEGImages\levle0_103.jpg,acne04,acne_severity,unassigned,0
levle0_104,datasets\raw\acne04\JPEGImages\levle0_104.jpg,acne04,acne_severity,unassigned,0
levle0_105,datasets\raw\acne04\JPEGImages\levle0_105.jpg,acne04,acne_severity,unassigned,0
levle0_106,datasets\raw\acne04\JPEGImages\levle0_106.jpg,acne04,acne_severity,unassigned,0
levle0_107,datasets\raw\acne04\JPEGImages\levle0_107.jpg,acne04,acne_severity,unassigned,0
levle0_108,datasets\raw\acne04\JPEGImages\levle0_108.jpg,acne04,acne_severity,unassigned,0
levle0_109,datasets\raw\acne04\JPEGImages\levle0_109.jpg,acne04,acne_severity,unassigned,0
levle0_11,datasets\raw\acne04\JPEGImages\levle0_11.jpg,acne04,acne_severity,unassigned,0
levle0_110,datasets\raw\acne04\JPEGImages\levle0_110.jpg,acne04,acne_severity,unassigned,0
levle0_111,datasets\raw\acne04\JPEGImages\levle0_111.jpg,acne04,acne_severity,unassigned,0
levle0_112,datasets\raw\acne04\JPEGImages\levle0_112.jpg,acne04,acne_severity,unassigned,0
levle0_113,datasets\raw\acne04\JPEGImages\levle0_113.jpg,acne04,acne_severity,unassigned,0
levle0_114,datasets\raw\acne04\JPEGImages\levle0_114.jpg,acne04,acne_severity,unassigned,0
levle0_115,datasets\raw\acne04\JPEGImages\levle0_115.jpg,acne04,acne_severity,unassigned,0
levle0_116,datasets\raw\acne04\JPEGImages\levle0_116.jpg,acne04,acne_severity,unassigned,0
levle0_117,datasets\raw\acne04\JPEGImages\levle0_117.jpg,acne04,acne_severity,unassigned,0
levle0_118,datasets\raw\acne04\JPEGImages\levle0_118.jpg,acne04,acne_severity,unassigned,0
levle0_119,datasets\raw\acne04\JPEGImages\levle0_119.jpg,acne04,acne_severity,unassigned,0
levle0_12,datasets\raw\acne04\JPEGImages\levle0_12.jpg,acne04,acne_severity,unassigned,0
levle0_120,datasets\raw\acne04\JPEGImages\levle0_120.jpg,acne04,acne_severity,unassigned,0
levle0_121,datasets\raw\acne04\JPEGImages\levle0_121.jpg,acne04,acne_severity,unassigned,0
levle0_122,datasets\raw\acne04\JPEGImages\levle0_122.jpg,acne04,acne_severity,unassigned,0
levle0_123,datasets\raw\acne04\JPEGImages\levle0_123.jpg,acne04,acne_severity,unassigned,0
levle0_124,datasets\raw\acne04\JPEGImages\levle0_124.jpg,acne04,acne_severity,unassigned,0
levle0_125,datasets\raw\acne04\JPEGImages\levle0_125.jpg,acne04,acne_severity,unassigned,0
levle0_126,datasets\raw\acne04\JPEGImages\levle0_126.jpg,acne04,acne_severity,unassigned,0
levle0_127,datasets\raw\acne04\JPEGImages\levle0_127.jpg,acne04,acne_severity,unassigned,0
levle0_128,datasets\raw\acne04\JPEGImages\levle0_128.jpg,acne04,acne_severity,unassigned,0
levle0_129,datasets\raw\acne04\JPEGImages\levle0_129.jpg,acne04,acne_severity,unassigned,0
levle0_130,datasets\raw\acne04\JPEGImages\levle0_130.jpg,acne04,acne_severity,unassigned,0
levle0_131,datasets\raw\acne04\JPEGImages\levle0_131.jpg,acne04,acne_severity,unassigned,0
levle0_132,datasets\raw\acne04\JPEGImages\levle0_132.jpg,acne04,acne_severity,unassigned,0
levle0_133,datasets\raw\acne04\JPEGImages\levle0_133.jpg,acne04,acne_severity,unassigned,0
levle0_134,datasets\raw\acne04\JPEGImages\levle0_134.jpg,acne04,acne_severity,unassigned,0
levle0_135,datasets\raw\acne04\JPEGImages\levle0_135.jpg,acne04,acne_severity,unassigned,0
levle0_136,datasets\raw\acne04\JPEGImages\levle0_136.jpg,acne04,acne_severity,unassigned,0
levle0_137,datasets\raw\acne04\JPEGImages\levle0_137.jpg,acne04,acne_severity,unassigned,0
levle0_138,datasets\raw\acne04\JPEGImages\levle0_138.jpg,acne04,acne_severity,unassigned,0
levle0_139,datasets\raw\acne04\JPEGImages\levle0_139.jpg,acne04,acne_severity,unassigned,0
levle0_14,datasets\raw\acne04\JPEGImages\levle0_14.jpg,acne04,acne_severity,unassigned,0
levle0_140,datasets\raw\acne04\JPEGImages\levle0_140.jpg,acne04,acne_severity,unassigned,0
levle0_141,datasets\raw\acne04\JPEGImages\levle0_141.jpg,acne04,acne_severity,unassigned,0
levle0_142,datasets\raw\acne04\JPEGImages\levle0_142.jpg,acne04,acne_severity,unassigned,0
levle0_143,datasets\raw\acne04\JPEGImages\levle0_143.jpg,acne04,acne_severity,unassigned,0
levle0_144,datasets\raw\acne04\JPEGImages\levle0_144.jpg,acne04,acne_severity,unassigned,0
levle0_145,datasets\raw\acne04\JPEGImages\levle0_145.jpg,acne04,acne_severity,unassigned,0
