image_id,image_path,dataset_name,task,split,Arched_Eyebrows,Bushy_Eyebrows,Narrow_Eyes,Big_Lips,Big_Nose,Pointy_Nose,High_Cheekbones,Oval_Face
000001,datasets\processed\celeba\images\000001.jpg,celeba,facial_attributes,unassigned,1,0,0,0,0,1,1,0
000002,datasets\processed\celeba\images\000002.jpg,celeba,facial_attributes,unassigned,0,0,0,0,1,0,1,0
000003,datasets\processed\celeba\images\000003.jpg,celeba,facial_attributes,unassigned,0,0,1,1,0,1,0,0
000004,datasets\processed\celeba\images\000004.jpg,celeba,facial_attributes,unassigned,0,0,0,0,0,1,0,0
000005,datasets\processed\celeba\images\000005.jpg,celeba,facial_attributes,unassigned,1,0,1,1,0,1,0,0
000006,datasets\processed\celeba\images\000006.jpg,celeba,facial_attributes,unassigned,1,0,0,1,0,0,0,0
000007,datasets\processed\celeba\images\000007.jpg,celeba,facial_attributes,unassigned,0,1,0,1,1,1,0,0
000008,datasets\processed\celeba\images\000008.jpg,celeba,facial_attributes,unassigned,1,0,0,1,0,1,0,0
000009,datasets\processed\celeba\images\000009.jpg,celeba,facial_attributes,unassigned,1,0,0,1,0,1,1,1
000010,datasets\processed\celeba\images\000010.jpg,celeba,facial_attributes,unassigned,0,0,0,0,0,0,1,0
000011,datasets\processed\celeba\images\000011.jpg,celeba,facial_attributes,unassigned,0,0,0,0,0,0,0,0
000012,datasets\processed\celeba\images\000012.jpg,celeba,facial_attributes,unassigned,0,1,0,0,0,0,1,1
000013,datasets\processed\celeba\images\000013.jpg,celeba,facial_attributes,unassigned,0,0,0,0,0,0,1,1
000014,datasets\processed\celeba\images\000014.jpg,celeba,facial_attributes,unassigned,1,1,0,0,1,0,1,0
000015,datasets\processed\celeba\images\000015.jpg,celeba,facial_attributes,unassigned,0,0,1,0,1,0,0,0
000016,datasets\processed\celeba\images\000016.jpg,celeba,facial_attributes,unassigned,0,0,0,0,0,0,0,0
000017,datasets\processed\celeba\images\000017.jpg,celeba,facial_attributes,unassigned,0,0,0,0,0,0,1,1
000018,datasets\processed\celeba\images\000018.jpg,celeba,facial_attributes,unassigned,1,0,1,0,1,1,1,0
000019,datasets\processed\celeba\images\000019.jpg,celeba,facial_attributes,unassigned,1,0,0,0,0,0,0,1
000020,datasets\processed\celeba\images\000020.jpg,celeba,facial_attributes,unassigned,0,0,1,0,0,0,0,0
000021,datasets\processed\celeba\images\000021.jpg,celeba,facial_attributes,unassigned,0,0,0,0,1,0,0,0
000022,datasets\processed\celeba\images\000022.jpg,celeba,facial_attributes,unassigned,1,0,0,1,0,0,0,0
000023,datasets\processed\celeba\images\000023.jpg,celeba,facial_attributes,unassigned,0,0,1,0,1,1,0,0
000024,datasets\processed\celeba\images\000024.jpg,celeba,facial_attributes,unassigned,1,0,0,1,0,0,0,0
000025,datasets\processed\celeba\images\000025.jpg,celeba,facial_attributes,unassigned,0,0,0,0,1,0,0,0
000026,datasets\processed\celeba\images\000026.jpg,celeba,facial_attributes,unassigned,0,0,0,1,0,0,0,0
000027,datasets\processed\celeba\images\000027.jpg,celeba,facial_attributes,unassigned,1,0,0,1,0,1,1,0
000028,datasets\processed\celeba\images\000028.jpg,celeba,facial_attributes,unassigned,0,0,0,0,0,1,1,0
000029,datasets\processed\celeba\images\000029.jpg,celeba,facial_attributes,unassigned,1,0,0,0,0,1,1,1
000030,datasets\processed\celeba\images\000030.jpg,celeba,facial_attributes,unassigned,0,0,0,0,1,0,0,0
000031,datasets\processed\celeba\images\000031.jpg,celeba,facial_attributes,unassigned,0,0,0,0,0,0,1,1
000032,datasets\processed\celeba\images\000032.jpg,celeba,facial_attributes,unassigned,0,0,0,0,1,0,0,0
000033,datasets\processed\celeba\images\000033.jpg,celeba,facial_attributes,unassigned,0,0,0,0,0,0,0,0
000034,datasets\processed\celeba\images\000034.jpg,celeba,facial_attributes,unassigned,1,0,0,0,0,1,0,0
000035,datasets\processed\celeba\images\000035.jpg,celeba,facial_attributes,unassigned,1,0,0,1,0,0,1,0
000036,datasets\processed\celeba\images\000036.jpg,celeba,facial_attributes,unassigned,0,0,0,0,1,0,0,0
000037,datasets\processed\celeba\images\000037.jpg,celeba,facial_attributes,unassigned,0,1,0,1,1,0,0,0
000038,datasets\processed\celeba\images\000038.jpg,celeba,facial_attributes,unassigned,0,0,0,0,1,0,1,0
000039,datasets\processed\celeba\images\000039.jpg,celeba,facial_attributes,unassigned,1,0,0,1,0,1,1,0
000040,datasets\processed\celeba\images\000040.jpg,celeba,facial_attributes,unassigned,0,0,0,0,0,0,0,1
000041,datasets\processed\celeba\images\000041.jpg,celeba,facial_attributes,unassigned,0,0,0,0,0,0,1,0
000042,datasets\processed\celeba\images\000042.jpg,celeba,facial_attributes,unassigned,1,0,0,0,0,1,1,1
000043,datasets\processed\celeba\images\000043.jpg,celeba,facial_attributes,unassigned,1,0,0,0,0,1,1,1
000044,datasets\processed\celeba\images\000044.jpg,celeba,facial_attributes,unassigned,0,1,0,1,1,0,0,0
000045,datasets\processed\celeba\images\000045.jpg,celeba,facial_attributes,unassigned,1,0,1,1,0,0,1,1
000046,datasets\processed\celeba\images\000046.jpg,celeba,facial_attributes,unassigned,0,0,0,1,0,1,1,0
000047,datasets\processed\celeba\images\000047.jpg,celeba,facial_attributes,unassigned,1,0,1,1,0,0,1,0
000048,datasets\processed\celeba\images\000048.jpg,celeba,facial_attributes,unassigned,0,0,0,0,0,0,0,0
000049,datasets\processed\celeba\images\000049.jpg,celeba,facial_attributes,unassigned,0,0,0,0,0,1,0,0
000050,datasets\processed\celeba\images\000050.jpg,celeba,facial_attributes,unassigned,0,1,0,0,0,0,1,1
000051,datasets\processed\celeba\images\000051.jpg,celeba,facial_attributes,unassigned,0,0,0,0,1,0,0,0
000052,datasets\processed\celeba\images\000052.jpg,celeba,facial_attributes,unassigned,0,1,0,0,1,0,0,0
000053,datasets\processed\celeba\images\000053.jpg,celeba,facial_attributes,unassigned,0,0,0,0,1,0,0,0
000054,datasets\processed\celeba\images\000054.jpg,celeba,facial_attributes,unassigned,1,0,1,1,1,0,1,0
000055,datasets\processed\celeba\images\000055.jpg,celeba,facial_attributes,unassigned,0,1,0,0,0,0,1,0
000056,datasets\processed\celeba\images\000056.jpg,celeba,facial_attributes,unassigned,1,0,0,1,0,0,0,0
000057,datasets\processed\celeba\images\000057.jpg,celeba,facial_attributes,unassigned,1,0,0,0,0,0,0,0
000058,datasets\processed\celeba\images\000058.jpg,celeba,facial_attributes,unassigned,1,0,0,0,0,0,0,0
000059,datasets\processed\celeba\images\000059.jpg,celeba,facial_attributes,unassigned,0,0,0,0,0,0,0,0
000060,datasets\processed\celeba\images\000060.jpg,celeba,facial_attributes,unassigned,0,0,0,1,1,0,1,0
000061,datasets\processed\celeba\images\000061.jpg,celeba,facial_attributes,unassigned,0,1,0,0,0,0,0,0
000062,datasets\processed\celeba\images\000062.jpg,celeba,facial_attributes,unassigned,0,0,0,0,0,0,0,0
000063,datasets\processed\celeba\images\000063.jpg,celeba,facial_attributes,unassigned,1,0,0,0,0,0,1,0
000064,datasets\processed\celeba\images\000064.jpg,celeba,facial_attributes,unassigned,0,0,0,0,0,0,0,0
000065,datasets\processed\celeba\images\000065.jpg,celeba,facial_attributes,unassigned,0,0,0,0,0,0,0,0
000066,datasets\processed\celeba\images\000066.jpg,celeba,facial_attributes,unassigned,1,0,1,0,1,0,1,0
000067,datasets\processed\celeba\images\000067.jpg,celeba,facial_attributes,unassigned,0,0,0,0,1,0,0,0
000068,datasets\processed\celeba\images\000068.jpg,celeba,facial_attributes,unassigned,0,0,0,0,1,0,1,0
000069,datasets\processed\celeba\images\000069.jpg,celeba,facial_attributes,unassigned,0,1,0,0,0,0,0,1
000070,datasets\processed\celeba\images\000070.jpg,celeba,facial_attributes,unassigned,0,0,0,0,0,0,1,0
000071,datasets\processed\celeba\images\000071.jpg,celeba,facial_attributes,unassigned,0,0,0,0,0,1,1,1
000072,datasets\processed\celeba\images\000072.jpg,celeba,facial_attributes,unassigned,0,1,1,0,1,0,1,0
000073,datasets\processed\celeba\images\000073.jpg,celeba,facial_attributes,unassigned,0,0,0,0,0,1,0,0
000074,datasets\processed\celeba\images\000074.jpg,celeba,facial_attributes,unassigned,1,0,1,1,0,0,0,0
000075,datasets\processed\celeba\images\000075.jpg,celeba,facial_attributes,unassigned,1,0,0,1,0,1,0,0
000076,datasets\processed\celeba\images\000076.jpg,celeba,facial_attributes,unassigned,0,0,0,0,0,0,0,1
000077,datasets\processed\celeba\images\000077.jpg,celeba,facial_attributes,unassigned,0,1,0,0,0,0,1,1
000078,datasets\processed\celeba\images\000078.jpg,celeba,facial_attributes,unassigned,1,0,1,1,0,1,1,0
000079,datasets\processed\celeba\images\000079.jpg,celeba,facial_attributes,unassigned,0,0,0,0,0,1,0,0
000080,datasets\processed\celeba\images\000080.jpg,celeba,facial_attributes,unassigned,0,0,0,0,0,1,0,0
000081,datasets\processed\celeba\images\000081.jpg,celeba,facial_attributes,unassigned,0,1,0,0,1,0,1,1
000082,datasets\processed\celeba\images\000082.jpg,celeba,facial_attributes,unassigned,0,0,0,0,1,0,0,0
000083,datasets\processed\celeba\images\000083.jpg,celeba,facial_attributes,unassigned,1,0,0,0,0,0,1,1
