image_id,image_path,dataset_name,task,split
00000,datasets\raw\ffhq\images\00000.png,ffhq,face_representation,unassigned
00001,datasets\raw\ffhq\images\00001.png,ffhq,face_representation,unassigned
00002,datasets\raw\ffhq\images\00002.png,ffhq,face_representation,unassigned
00003,datasets\raw\ffhq\images\00003.png,ffhq,face_representation,unassigned
00004,datasets\raw\ffhq\images\00004.png,ffhq,face_representation,unassigned
00005,datasets\raw\ffhq\images\00005.png,ffhq,face_representation,unassigned
00006,datasets\raw\ffhq\images\00006.png,ffhq,face_representation,unassigned
00007,datasets\raw\ffhq\images\00007.png,ffhq,face_representation,unassigned
00008,datasets\raw\ffhq\images\00008.png,ffhq,face_representation,unassigned
00009,datasets\raw\ffhq\images\00009.png,ffhq,face_representation,unassigned
00010,datasets\raw\ffhq\images\00010.png,ffhq,face_representation,unassigned
00011,datasets\raw\ffhq\images\00011.png,ffhq,face_representation,unassigned
00012,datasets\raw\ffhq\images\00012.png,ffhq,face_representation,unassigned
00013,datasets\raw\ffhq\images\00013.png,ffhq,face_representation,unassigned
00014,datasets\raw\ffhq\images\00014.png,ffhq,face_representation,unassigned
00015,datasets\raw\ffhq\images\00015.png,ffhq,face_representation,unassigned
00016,datasets\raw\ffhq\images\00016.png,ffhq,face_representation,unassigned
00017,datasets\raw\ffhq\images\00017.png,ffhq,face_representation,unassigned
00018,datasets\raw\ffhq\images\00018.png,ffhq,face_representation,unassigned
00019,datasets\raw\ffhq\images\00019.png,ffhq,face_representation,unassigned
00020,datasets\raw\ffhq\images\00020.png,ffhq,face_representation,unassigned
00021,datasets\raw\ffhq\images\00021.png,ffhq,face_representation,unassigned
00022,datasets\raw\ffhq\images\00022.png,ffhq,face_representation,unassigned
00023,datasets\raw\ffhq\images\00023.png,ffhq,face_representation,unassigned
00024,datasets\raw\ffhq\images\00024.png,ffhq,face_representation,unassigned
00025,datasets\raw\ffhq\images\00025.png,ffhq,face_representation,unassigned
00026,datasets\raw\ffhq\images\00026.png,ffhq,face_representation,unassigned
00027,datasets\raw\ffhq\images\00027.png,ffhq,face_representation,unassigned
00028,datasets\raw\ffhq\images\00028.png,ffhq,face_representation,unassigned
00029,datasets\raw\ffhq\images\00029.png,ffhq,face_representation,unassigned
00030,datasets\raw\ffhq\images\00030.png,ffhq,face_representation,unassigned
00031,datasets\raw\ffhq\images\00031.png,ffhq,face_representation,unassigned
00032,datasets\raw\ffhq\images\00032.png,ffhq,face_representation,unassigned
00033,datasets\raw\ffhq\images\00033.png,ffhq,face_representation,unassigned
00034,datasets\raw\ffhq\images\00034.png,ffhq,face_representation,unassigned
00035,datasets\raw\ffhq\images\00035.png,ffhq,face_representation,unassigned
00036,datasets\raw\ffhq\images\00036.png,ffhq,face_representation,unassigned
00037,datasets\raw\ffhq\images\00037.png,ffhq,face_representation,unassigned
00038,datasets\raw\ffhq\images\00038.png,ffhq,face_representation,unassigned
00039,datasets\raw\ffhq\images\00039.png,ffhq,face_representation,unassigned
00040,datasets\raw\ffhq\images\00040.png,ffhq,face_representation,unassigned
00041,datasets\raw\ffhq\images\00041.png,ffhq,face_representation,unassigned
00042,datasets\raw\ffhq\images\00042.png,ffhq,face_representation,unassigned
