image_id,image_path,dataset_name,task,split,fitzpatrick_scale,fitzpatrick_centaur,label,nine_partition_label,three_partition_label,qc,url,url_alphanum
5e82a45bc5d78bd24ae9202d194423f8,datasets\raw\fitzpatrick17k\images\5e82a45bc5d78bd24ae9202d194423f8.jpg,fitzpatrick17k,skin_tone,unassigned,3,3,drug induced pigmentary changes,inflammatory,non-neoplastic,,https://www.dermaamin.com/site/images/clinical-pic/m/minocycline-pigmentation/minocycline-pigmentation1.jpg,httpwwwdermaamincomsiteimagesclinicalpicmminocyclinepigmentationminocyclinepigmentation1jpg.jpg
fa2911a9b13b6f8af79cb700937cc14f,datasets\raw\fitzpatrick17k\images\fa2911a9b13b6f8af79cb700937cc14f.jpg,fitzpatrick17k,skin_tone,unassigned,1,1,photodermatoses,inflammatory,non-neoplastic,,https://www.dermaamin.com/site/images/clinical-pic/p/photosensitivity/photosensitivity18.jpg,httpwwwdermaamincomsiteimagesclinicalpicpphotosensitivityphotosensitivity18jpg.jpg
d2bac3c9e4499032ca8e9b07c7d3bc40,datasets\raw\fitzpatrick17k\images\d2bac3c9e4499032ca8e9b07c7d3bc40.jpg,fitzpatrick17k,skin_tone,unassigned,2,3,dermatofibroma,benign dermal,benign,,https://www.dermaamin.com/site/images/clinical-pic/d/dermatofibroma/dermatofibroma71.jpg,httpwwwdermaamincomsiteimagesclinicalpicddermatofibromadermatofibroma71jpg.jpg
0a94359e7eaacd7178e06b2823777789,datasets\raw\fitzpatrick17k\images\0a94359e7eaacd7178e06b2823777789.jpg,fitzpatrick17k,skin_tone,unassigned,1,1,psoriasis,inflammatory,non-neoplastic,,https://www.dermaamin.com/site/images/clinical-pic/p/psoriasis/psoriasis38.jpg,httpwwwdermaamincomsiteimagesclinicalpicppsoriasispsoriasis38jpg.jpg
a39ec3b1f22c08a421fa20535e037bba,datasets\raw\fitzpatrick17k\images\a39ec3b1f22c08a421fa20535e037bba.jpg,fitzpatrick17k,skin_tone,unassigned,1,1,psoriasis,inflammatory,non-neoplastic,,https://www.dermaamin.com/site/images/clinical-pic/p/psoriasis-scalp/psoriasis-scalp20.jpg,httpwwwdermaamincomsiteimagesclinicalpicppsoriasisscalppsoriasisscalp20jpg.jpg
45f7fe0e10214e32e890cad9d29d4811,datasets\raw\fitzpatrick17k\images\45f7fe0e10214e32e890cad9d29d4811.jpg,fitzpatrick17k,skin_tone,unassigned,6,5,kaposi sarcoma,malignant dermal,malignant,,https://www.dermaamin.com/site/images/clinical-pic/k/kaposis-sarcoma/kaposis-sarcoma4.jpg,httpwwwdermaamincomsiteimagesclinicalpickkaposissarcomakaposissarcoma4jpg.jpg
6c395be9325dbb10e55497304b398253,datasets\raw\fitzpatrick17k\images\6c395be9325dbb10e55497304b398253.jpg,fitzpatrick17k,skin_tone,unassigned,2,2,neutrophilic dermatoses,inflammatory,non-neoplastic,,https://www.dermaamin.com/site/images/clinical-pic/s/sweet-syndrome/sweet-syndrome98.jpg,httpwwwdermaamincomsiteimagesclinicalpicssweetsyndromesweetsyndrome98jpg.jpg
9dc73230c77ab5c58dc1f11caef39ea2,datasets\raw\fitzpatrick17k\images\9dc73230c77ab5c58dc1f11caef39ea2.jpg,fitzpatrick17k,skin_tone,unassigned,2,1,granuloma annulare,inflammatory,non-neoplastic,,https://www.dermaamin.com/site/images/clinical-pic/g/granuloma_annulare/granuloma_annulare41.jpg,httpwwwdermaamincomsiteimagesclinicalpicggranulomaannularegranulomaannulare41jpg.jpg
f23937e86de55c3471ac5d0143b67e08,datasets\raw\fitzpatrick17k\images\f23937e86de55c3471ac5d0143b67e08.jpg,fitzpatrick17k,skin_tone,unassigned,4,4,nematode infection,inflammatory,non-neoplastic,,https://www.dermaamin.com/site/images/clinical-pic/L/larva-migrans/larva-migrans88.jpg,httpwwwdermaamincomsiteimagesclinicalpicLlarvamigranslarvamigrans88jpg.jpg
09d46db9589ff45436cda87c4abc946b,datasets\raw\fitzpatrick17k\images\09d46db9589ff45436cda87c4abc946b.jpg,fitzpatrick17k,skin_tone,unassigned,3,2,allergic contact dermatitis,inflammatory,non-neoplastic,,https://www.dermaamin.com/site/images/clinical-pic/a/allergic_contact_dermatitis/allergic_contact_dermatitis114.jpg,httpwwwdermaamincomsiteimagesclinicalpicaallergiccontactdermatitisallergiccontactdermatitis114jpg.jpg
9bc21ae9502b720f604907ff56dbc4c7,datasets\raw\fitzpatrick17k\images\9bc21ae9502b720f604907ff56dbc4c7.jpg,fitzpatrick17k,skin_tone,unassigned,-1,-1,necrobiosis lipoidica,inflammatory,non-neoplastic,,https://www.dermaamin.com/site/images/clinical-pic/n/necrobiois-lipoidica-diabeticorum/necrobiois-lipoidica-diabeticorum88.jpg,httpwwwdermaamincomsiteimagesclinicalpicnnecrobioislipoidicadiabeticorumnecrobioislipoidicadiabeticorum88jpg.jpg
e702b1a7dc40aa1d8e85ccdb019c4ab2,datasets\raw\fitzpatrick17k\images\e702b1a7dc40aa1d8e85ccdb019c4ab2.jpg,fitzpatrick17k,skin_tone,unassigned,1,1,neutrophilic dermatoses,inflammatory,non-neoplastic,,https://www.dermaamin.com/site/images/clinical-pic/s/sweet-syndrome/sweet-syndrome50.jpg,httpwwwdermaamincomsiteimagesclinicalpicssweetsyndromesweetsyndrome50jpg.jpg
ddcad677b7b1e9084f3f51a8e026aa8d,datasets\raw\fitzpatrick17k\images\ddcad677b7b1e9084f3f51a8e026aa8d.jpg,fitzpatrick17k,skin_tone,unassigned,5,5,hidradenitis,inflammatory,non-neoplastic,,https://www.dermaamin.com/site/images/clinical-pic/h/hidradenitis_suppurativa/hidradenitis_suppurativa50.jpg,httpwwwdermaamincomsiteimagesclinicalpichhidradenitissuppurativahidradenitissuppurativa50jpg.jpg
b87804452f60aa162a6d29c0f66a2466,datasets\raw\fitzpatrick17k\images\b87804452f60aa162a6d29c0f66a2466.jpg,fitzpatrick17k,skin_tone,unassigned,2,1,melanoma,malignant melanoma,malignant,,https://www.dermaamin.com/site/images/clinical-pic/L/lmm/lmm6.jpg,httpwwwdermaamincomsiteimagesclinicalpicLlmmlmm6jpg.jpg
d1fb87ee7ee50f997cd6497dd90d6bbb,datasets\raw\fitzpatrick17k\images\d1fb87ee7ee50f997cd6497dd90d6bbb.jpg,fitzpatrick17k,skin_tone,unassigned,4,2,acne vulgaris,inflammatory,non-neoplastic,1 Diagnostic,https://www.dermaamin.com/site/images/clinical-pic/a/acne_vulgaris/acne_vulgaris150.jpg,httpwwwdermaamincomsiteimagesclinicalpicaacnevulgarisacnevulgaris150jpg.jpg
8438db40abd1eccfbc7ee4b469f1b6f1,datasets\raw\fitzpatrick17k\images\8438db40abd1eccfbc7ee4b469f1b6f1.jpg,fitzpatrick17k,skin_tone,unassigned,4,3,necrobiosis lipoidica,inflammatory,non-neoplastic,,https://www.dermaamin.com/site/images/clinical-pic/n/necrobiois-lipoidica-diabeticorum/necrobiois-lipoidica-diabeticorum7.jpg,httpwwwdermaamincomsiteimagesclinicalpicnnecrobioislipoidicadiabeticorumnecrobioislipoidicadiabeticorum7jpg.jpg
2d57e08861beb72725ea40af58f9cd46,datasets\raw\fitzpatrick17k\images\2d57e08861beb72725ea40af58f9cd46.jpg,fitzpatrick17k,skin_tone,unassigned,2,2,sarcoidosis,inflammatory,non-neoplastic,,https://www.dermaamin.com/site/images/clinical-pic/s/sarcoidosis-of-the-skin-plaque-form/sarcoidosis-of-the-skin-plaque-form15.jpg,httpwwwdermaamincomsiteimagesclinicalpicssarcoidosisoftheskinplaqueformsarcoidosisoftheskinplaqueform15jpg.jpg
1e119546f5bc2b9165bb10ddd7fe5f69,datasets\raw\fitzpatrick17k\images\1e119546f5bc2b9165bb10ddd7fe5f69.jpg,fitzpatrick17k,skin_tone,unassigned,5,4,xeroderma pigmentosum,genodermatoses,non-neoplastic,,https://www.dermaamin.com/site/images/clinical-pic/X/xeroderma-pigmentosum/xeroderma-pigmentosum13.jpg,httpwwwdermaamincomsiteimagesclinicalpicXxerodermapigmentosumxerodermapigmentosum13jpg.jpg
4c3f795cf8eb72b946f9bd2642cf23c1,datasets\raw\fitzpatrick17k\images\4c3f795cf8eb72b946f9bd2642cf23c1.jpg,fitzpatrick17k,skin_tone,unassigned,6,5,melanoma,malignant melanoma,malignant,,https://www.dermaamin.com/site/images/clinical-pic/m/melanoma/melanoma17.jpg,httpwwwdermaamincomsiteimagesclinicalpicmmelanomamelanoma17jpg.jpg
99247c9fe486aa9ab71686c8e676c135,datasets\raw\fitzpatrick17k\images\99247c9fe486aa9ab71686c8e676c135.jpg,fitzpatrick17k,skin_tone,unassigned,2,1,dermatofibroma,benign dermal,benign,,https://www.dermaamin.com/site/images/clinical-pic/d/dermatofibroma/dermatofibroma13.jpg,httpwwwdermaamincomsiteimagesclinicalpicddermatofibromadermatofibroma13jpg.jpg
b09233673fc585369e723ec841ed0acb,datasets\raw\fitzpatrick17k\images\b09233673fc585369e723ec841ed0acb.jpg,fitzpatrick17k,skin_tone,unassigned,5,3,actinic keratosis,malignant epidermal,malignant,,https://www.dermaamin.com/site/images/clinical-pic/a/actinic_keratoses/actinic_keratoses83.jpg,httpwwwdermaamincomsiteimagesclinicalpicaactinickeratosesactinickeratoses83jpg.jpg
449d63bec3a88dc28c458d338c41cd0a,datasets\raw\fitzpatrick17k\images\449d63bec3a88dc28c458d338c41cd0a.jpg,fitzpatrick17k,skin_tone,unassigned,1,1,scleroderma,inflammatory,non-neoplastic,,https://www.dermaamin.com/site/images/clinical-pic/L/localized-scleroderma/localized-scleroderma3.jpg,httpwwwdermaamincomsiteimagesclinicalpicLlocalizedsclerodermalocalizedscleroderma3jpg.jpg
7a06b6baf5155ffe9baafa3b410402ec,datasets\raw\fitzpatrick17k\images\7a06b6baf5155ffe9baafa3b410402ec.jpg,fitzpatrick17k,skin_tone,unassigned,4,3,hidradenitis,inflammatory,non-neoplastic,,https://www.dermaamin.com/site/images/clinical-pic/h/hidradenitis_suppurativa/hidradenitis_suppurativa18.jpg,httpwwwdermaamincomsiteimagesclinicalpichhidradenitissuppurativahidradenitissuppurativa18jpg.jpg
fb9640a13e0c11610684fe8c0f473cf2,datasets\raw\fitzpatrick17k\images\fb9640a13e0c11610684fe8c0f473cf2.jpg,fitzpatrick17k,skin_tone,unassigned,2,2,syringoma,benign dermal,benign,,https://www.dermaamin.com/site/images/clinical-pic/s/syringoma/syringoma33.jpg,httpwwwdermaamincomsiteimagesclinicalpicssyringomasyringoma33jpg.jpg
f968e591e15f47b544e551bc3cc5b8d3,datasets\raw\fitzpatrick17k\images\f968e591e15f47b544e551bc3cc5b8d3.jpg,fitzpatrick17k,skin_tone,unassigned,2,2,folliculitis,inflammatory,non-neoplastic,,https://www.dermaamin.com/site/images/clinical-pic/f/folliculitis/folliculitis89.jpg,httpwwwdermaamincomsiteimagesclinicalpicffolliculitisfolliculitis89jpg.jpg
2dd9b408e01e715ddd3d272d3465261f,datasets\raw\fitzpatrick17k\images\2dd9b408e01e715ddd3d272d3465261f.jpg,fitzpatrick17k,skin_tone,unassigned,4,3,pityriasis lichenoides chronica,inflammatory,non-neoplastic,,https://www.dermaamin.com/site/images/clinical-pic/p/pityriasis_lichenoid_chronica/pityriasis_lichenoid_chronica31.jpg,httpwwwdermaamincomsiteimagesclinicalpicppityriasislichenoidchronicapityriasislichenoidchronica31jpg.jpg
076dbdc23a42e011f5871f1261c6e3b5,datasets\raw\fitzpatrick17k\images\076dbdc23a42e011f5871f1261c6e3b5.jpg,fitzpatrick17k,skin_tone,unassigned,3,1,porphyria,inflammatory,non-neoplastic,,https://www.dermaamin.com/site/images/clinical-pic/p/porphyria-cutanea-tarda/porphyria-cutanea-tarda100.jpg,httpwwwdermaamincomsiteimagesclinicalpicpporphyriacutaneatardaporphyriacutaneatarda100jpg.jpg
cd38c6d449b05025a1e68bd94d387f47,datasets\raw\fitzpatrick17k\images\cd38c6d449b05025a1e68bd94d387f47.jpg,fitzpatrick17k,skin_tone,unassigned,1,1,dyshidrotic eczema,inflammatory,non-neoplastic,,https://www.dermaamin.com/site/images/clinical-pic/h/hidrotic_ectodermal_dysplasia/hidrotic_ectodermal_dysplasia4.jpg,httpwwwdermaamincomsiteimagesclinicalpichhidroticectodermaldysplasiahidroticectodermaldysplasia4jpg.jpg
890cf5d791c7e738d156ec3ea95fae5d,datasets\raw\fitzpatrick17k\images\890cf5d791c7e738d156ec3ea95fae5d.jpg,fitzpatrick17k,skin_tone,unassigned,1,1,allergic contact dermatitis,inflammatory,non-neoplastic,,https://www.dermaamin.com/site/images/clinical-pic/r/rhus_dermatitis/rhus_dermatitis39.jpg,httpwwwdermaamincomsiteimagesclinicalpicrrhusdermatitisrhusdermatitis39jpg.jpg
9a3af1bc39e115bcc6931170cf8a00bb,datasets\raw\fitzpatrick17k\images\9a3af1bc39e115bcc6931170cf8a00bb.jpg,fitzpatrick17k,skin_tone,unassigned,2,2,seborrheic dermatitis,inflammatory,non-neoplastic,,https://www.dermaamin.com/site/images/clinical-pic/s/seborrheic-dermatitis/seborrheic-dermatitis52.jpg,httpwwwdermaamincomsiteimagesclinicalpicsseborrheicdermatitisseborrheicdermatitis52jpg.jpg
9d5a90fa3f6934608add10e698001760,datasets\raw\fitzpatrick17k\images\9d5a90fa3f6934608add10e698001760.jpg,fitzpatrick17k,skin_tone,unassigned,3,5,prurigo nodularis,benign epidermal,benign,,https://www.dermaamin.com/site/images/clinical-pic/p/prurigo_nodularis/prurigo_nodularis27.jpg,httpwwwdermaamincomsiteimagesclinicalpicpprurigonodularisprurigonodularis27jpg.jpg
4235913d0b8803702095b54856a07702,datasets\raw\fitzpatrick17k\images\4235913d0b8803702095b54856a07702.jpg,fitzpatrick17k,skin_tone,unassigned,1,1,acne,inflammatory,non-neoplastic,,https://www.dermaamin.com/site/images/clinical-pic/a/acne_aggravated_by_steroids/acne_aggravated_by_steroids7.jpg,httpwwwdermaamincomsiteimagesclinicalpicaacneaggravatedbysteroidsacneaggravatedbysteroids7jpg.jpg
a1af72c02caeb90947880eb024b23ae1,datasets\raw\fitzpatrick17k\images\a1af72c02caeb90947880eb024b23ae1.jpg,fitzpatrick17k,skin_tone,unassigned,1,1,neurofibromatosis,genodermatoses,non-neoplastic,,https://www.dermaamin.com/site/images/clinical-pic/n/neurofibromatosis-von-reckling-hausen-syndrome/neurofibromatosis-von-reckling-hausen-syndrome90.jpg,httpwwwdermaamincomsiteimagesclinicalpicnneurofibromatosisvonrecklinghausensyndromeneurofibromatosisvonrecklinghausensyndrome90jpg.jpg
31749f92677e70999c28fe49fbc6dafc,datasets\raw\fitzpatrick17k\images\31749f92677e70999c28fe49fbc6dafc.jpg,fitzpatrick17k,skin_tone,unassigned,2,2,eczema,inflammatory,non-neoplastic,1 Diagnostic,https://www.dermaamin.com/site/images/clinical-pic/e/eczema/eczema99.jpg,httpwwwdermaamincomsiteimagesclinicalpiceeczemaeczema99jpg.jpg
